編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
1,1,53226365,富來登事業有限公司,N支援服務業(建築物一般清潔服務業),墜落、滾落,1,萊爾富國際股份有限公司,23285582,萊爾富超商招牌清洗作業,萊爾富國際股份有限公司公正店,2283,宜蘭縣羅東鎮公正路342號,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-12-28,是,01
2,2,97022281,大有營造股份有限公司,F營造業(其他土木工程業),跌倒,1,柯○○,無,柯○○住宅新建工程,「柯○○住宅新建工程」工地,2272,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-12-28,否,02
3,3,,合秦建設有限公司,L不動產業(不動產開發業),物體倒塌、崩塌,2,,,合秦建設有限公司新建工程,開挖區,2273,彰化縣花壇鄉彰員路1段429號旁,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-12-27,是,02
4,4,33956722,樺嶺企業股份有限公司,C製造業(鋁鑄造業),感電,1,樺嶺企業股份有限公司,33956722,,鋁擠型成品包裝區,2278,鹽水區岸內里蔦松腳13之6號,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-12-26,是,03
5,5,,王OO(即順陞海事工程行),F營造業(其他土木工程業),溺斃,1,交通部航港局,,委任廠商進行無名貨船擱淺船體移除等事宜案,無名貨船擱淺處海岸,2283,,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-12-25,否,01
6,6,,佳和實業股份有限公司,C製造業(棉毛紡紗業),,1,,,布廠新裝機台24台配管配電工程,官田廠織布廠地下室,umb://document/35d344a135f2490f94a466f0b50746c4,臺南市官田區工業路11號,,2019,2019-12-25,是,
7,7,,博勝實業股份有限公司,C製造業(機車零件製造業),被夾、被捲,1,,,,博勝實業股份有限公司油壓作業區,2278,臺南市永康區王行里王行路68巷6之2號,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-12-24,是,03
8,8,,宏林營造廠股份有限公司,F營造業(建築工程業),衝撞,1,聯虹建設股份有限公司,,聯虹天耀2集合住宅新建工程,地下3樓,2267,新北市林口區吉祥路176號旁,新北市政府勞動檢查處,2019,2019-12-23,是,05
9,9,,國記營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,臺北市政府都市發展局,,（106建236）臺北市北投區奇岩公宅新建工程,臺北市北投區磺港路288號對面,2266,北投區磺港路288號對面,臺北市勞動檢查處,2019,2019-12-20,是,04
10,10,,岱盟工程有限公司,F營造業(建築工程業),墜落、滾落,1,國聚建設有限公司,,國聚建設永富段新建工程,於1樓室內閱覽室跨坐於合梯頂板(高度約1.73公尺)以交叉拉桿進行牆面螺桿拆除作業時，隨合梯傾倒墜落,2272,臺中市南屯區龍富路四段437號旁,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-12-19,是,02
11,11,,富強輪胎工廠股份有限公司,C製造業(輪胎製造業),物體飛落,1,,,,富強輪胎工廠股份有限公司,2273,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-12-19,否,02
12,12,,良記營造股份有限公司,F營造業(其他專門營造業),感電,1,台灣電力股份有限公司,,林口電廠更新擴建計畫第三期灰塘工程,鄰近林口電廠地磅站旁,2267,新北市林口區下福里139之1號,新北市政府勞動檢查處,2019,2019-12-19,是,05
13,13,,南投縣鹿谷鄉公所,O公共行政及國防；強制性社會安全(政府機關),墜落、滾落,1,無,,無,南投縣鹿谷鄉外城巷(外城分8號電桿前10公尺處),2274,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-12-13,否,02
14,14,16750540,江浚實業有限公司,E用水供應及污染整治業(非有害廢棄物處理業),被撞,1,,,,臺北市士林區延平北路七段1號,2266,臺北市士林區延平北路七段1號,臺北市勞動檢查處,2019,2019-12-12,是,04
15,15,,陳○○,F營造業(其他專門營造業),墜落、滾落,1,合禮企業股份有限公司,,合禮企業股份有限公司外牆拉皮工程,合禮公司廠房建物外牆,2268,桃園市龜山區文明三街6號,桃園市政府勞動檢查處,2019,2019-12-11,是,06
16,16,,麗富康國際股份有限公司,G批發及零售業(化粧品批發業),物體飛落,1,麗富康國際股份有限公司,,,麗富康國際股份有限公司股東張○○住宅,2271,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-12-10,否,02
17,17,,泉國工業股份有限公司大溪廠,C製造業(鋼鐵軋延及擠型業),墜落、滾落,1,,,,泉國工業股份有限公司大溪廠（址設：桃園市大溪區信義路240之1號）之大門前庭遮雨棚,2268,桃園市大溪區信義路240之1號,桃園市政府勞動檢查處,2019,2019-12-10,是,06
18,18,,踴隆企業有限公司,C製造業(製材業),物體倒塌、崩塌,1,-,,-,踴隆企業有限公司之廠區第三條路,2279,高雄市大寮區會結二路３２６巷３７號,高雄市政府勞工局勞動檢查處,2019,2019-12-10,是,09
19,19,,萬安保全股份有限公司,N支援服務業(保全及偵探業),其他交通事故,1,台灣美光記憶體(股)公司,,,台灣美光記憶體(股)公司台中二廠,2272,,中部科學園區管理局,2019,2019-12-05,否,12
20,20,,泉元室內裝潢工程有限公司,F營造業(建物完工裝修工程業),墜落、滾落,1,信義房屋股份有限公司,,新莊副都心一小段362、362-1地號雅朵花園接待中心裝修工程,地上1樓,2267,,新北市政府勞動檢查處,2019,2019-12-04,否,05
21,21,,泛亞工程建設股份有限公司,F營造業(其他專門營造業),溺斃,3,台灣中油股份有限公司,,第三座液化天然氣接收站建港及圍堤造地新建工程,臺北港南堤側海上,2267,新北市八里區臺北港北7之2至9之1碼頭,新北市政府勞動檢查處,2019,2019-12-01,是,05
22,22,,匯潔事業有限公司,N支援服務業(建築物一般清潔服務業),跌倒,1,,,,新北市中和區中山路2段232巷21號,2267,新北市中和區中山路2段232巷21號,新北市政府勞動檢查處,2019,2019-11-29,是,05
23,23,,邱OO,A農、林、漁、牧業(其他農作物栽培業),墜落、滾落,1,無,,無,臺中市北屯區OO巷OO號旁竹林斜坡,2272,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-11-28,否,02
24,24,,胡○○,A農、林、漁、牧業(漁撈業),被撞,1,,,,,2265,,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-11-27,否,01
25,25,,大佳土木包工業有限公司,F營造業(建築工程業),墜落、滾落,1,林○○、林○○,,林○○、林○○住宅裝修工程,林○○、林○○住宅1樓,2278,,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-11-27,否,03
26,26,,志佳營造有限公司,F營造業(道路工程業),墜落、滾落,1,新竹縣尖石鄉公所,,108年4月21日豪大雨竹60線45K+100等3處(C1類)災害復建工程,,2270,新竹縣尖石鄉竹60線29K+900,勞動部職業安全衛生署北區職業安全衛生中心,2019,2019-11-25,是,01
27,27,,安研企業有限公司,G批發及零售業(建材零售業),墜落、滾落,1,,,走遍天下食品有限公司工廠整修工程,地上3樓,2267,新北市瑞芳區頂坪路104號,新北市政府勞動檢查處,2019,2019-11-24,是,05
28,28,,悅騰建設股份有限公司,F營造業(建築工程業),墜落、滾落,1,悅騰建設股份有限公司,,西屯區上石碑段集合住宅新建工程,1樓大廳走道,2272,臺中市西屯區西屯路二段與弘孝路口,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-11-22,是,02
29,29,,李00,M專業、科學及技術服務業(未分類其他專業、科學及技術服務業),被夾、被捲,1,,,,00工程有限公司,2271,,勞動部職業安全衛生署中區職業安全衛生中心,2019,2019-11-21,否,02
30,30,42923364,勝多立科技有限公司,C製造業(其他塑膠製品製造業),被撞,1,,,,臺南市永康區正南三路237號,2278,臺南市永康區正南三路237號,勞動部職業安全衛生署南區職業安全衛生中心,2019,2019-11-21,是,03
