編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
125,125,,周○○,F營造業(其他專門營造業),被撞,1,余○○,,承攬余○○貨櫃屋運送吊掛工程,桃園市大園區大海里建國11村129號之1,2268,桃園市大園區大海里建國11村129號之1,桃園市政府勞動檢查處,2023,2023-08-16,是,06
126,126,,盛傑營造有限公司,F營造業(建築工程業),墜落、滾落,1,富宇建設股份有限公司,,富宇建設股份有限公司桃園市龜山區樂捷段61地號等2筆新建工程,工區F棟21樓通風管道開口邊緣處,2268,龜山區文禾路188號對面,桃園市政府勞動檢查處,2023,2023-08-16,是,06
127,127,,有限責任臺南市善化穀糧生產合作社,A農、林、漁、牧業(雜糧栽培業),被撞,1,,,,臺南市善化區昌隆里東勢寮1號之33,2278,臺南市善化區昌隆里東勢寮1號之33,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-08-14,是,03
128,128,,世紀鋼鐵結構股份有限公司,C製造業(金屬結構製造業),墜落、滾落,1,世紀鋼鐵結構股份有限公司,,觀音區金湖段1699-1地號新建工程（新增室內C型鋼安裝）,工地3樓電梯井工作場所,2268,桃園市觀音區中山路1段1119號,桃園市政府勞動檢查處,2023,2023-08-14,是,06
129,129,,趙○○,F營造業(建物完工裝修工程業),墜落、滾落,1,臺中市私立北屯格瑞特幼兒園,,臺中市私立北屯格瑞特幼兒園造景建物噴塗油漆作業,臺中市私立北屯格瑞特幼兒園,2272,,臺中市勞動檢查處,2023,2023-08-13,否,07
130,130,-,優食台灣股份有限公司(外送平台業者),H運輸及倉儲業(汽車貨運業),公路交通事故,1,,-,,臺中市北屯區昌平東六路與昌平五街無交通號誌之交叉路口,2272,臺中市北屯區昌平東六路與昌平五街無交通號誌之交叉路口,臺中市勞動檢查處,2023,2023-08-12,是,07
131,131,,久展玻璃企業股份有限公司,C製造業(其他玻璃及其製品製造業),跌倒,1,,,,新竹縣竹東鎮中興路二段132號,2270,竹東鎮中興路二段132號,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-08-11,是,01
132,132,,貝民股份有限公司香山廠,C製造業(化學原材料製造業),墜落、滾落,1,,,磷場屋頂局部更新工程,貝民股份有限公司香山廠,2269,新竹市香山區中華路六段668號,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-08-07,是,01
133,133,,鴻鈞機電工程股份有限公司,C製造業(化工機械設備製造業),墜落、滾落,1,鴻鈞機電工程股份有限公司,,焊接工程,鴻鈞機電工程股份有限公司(地址:苗栗縣竹南鎮港墘里10鄰塭內2之13號)D廠區,2271,苗栗縣竹南鎮港墘里10鄰塭內2之13號,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-08-07,是,02
134,134,50514807,鴻鈞機電工程股份有限公司,C製造業(化工機械設備製造業),墜落、滾落,1,,18213700,,鴻鈞機電工程股份有限公司D廠區,2271,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-08-07,否,02
