編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
1,1,E120782697,戴述森,F營造業(其他專門營造業),墜落、滾落,1,黃○裕,略,桃園市平鎮區復旦路○段○巷○號住宅屋頂浪板修繕工程,民宅屋頂,2268,,桃園市政府勞動檢查處,2024,2024-12-28,否,06
2,2,86845746,萬代福營造有限公司,F營造業(其他專門營造業),物體倒塌、崩塌,1,合雄建設股份有限公司,28763372,合雄建設八德區茄苳段426地號1筆結構體新建工程,工區A棟地下室4樓水箱工作場所,2268,桃園市八德區永豐路503號對面,桃園市政府勞動檢查處,2024,2024-12-28,是,06
3,3,16801739,鋼堡科技股份有限公司,N支援服務業(其他行政支援服務業),墜落、滾落,1,,無,,高雄市小港區中鋼路1號中國鋼鐵股份有限公司第二熱軋鋼帶工廠Y423,2279,高雄市小港區中鋼路1號,高雄市政府勞工局勞動檢查處,2024,2024-12-28,是,09
4,4,36915788,陳淑玲(即華榮實業工程行),G批發及零售業(其他機械器具批發業),墜落、滾落,1,日和鋼鐵企業股份有限公司,75077705,鐵皮屋牆面翻修工程,高雄市小港區同利路12號,2279,高雄市小港區同利路12號,高雄市政府勞工局勞動檢查處,2024,2024-12-26,是,09
5,5,28813422,新鴻舞台結構有限公司,F營造業(其他專門營造業),墜落、滾落,1,中國電視事業股份有限公司,18556774,2025大新竹跨年晚會活動舞台、燈光、音響施工工程,2025大新竹跨年晚會活動舞台等搭建場所,2270,,勞動部職業安全衛生署北區職業安全衛生中心,2024,2024-12-25,否,01
6,6,54984338,聯利媒體股份有限公司,R藝術、娛樂及休閒服務業(創作及藝術表演輔助業),墜落、滾落,1,臺北市政府觀光傳播局,48944083,臺北最High新年城-2025跨年活動之TRUSS結構工程,臺北市信義區市府路1號前廣場,2266,臺北市信義區市府路1號前廣場,臺北市勞動檢查處,2024,2024-12-25,是,04
7,7,51830802,可威環境資源(股)公司,E用水供應及污染整治業(非有害廢棄物清除業),物體倒塌、崩塌,0,,無,爐渣清除作業,高雄市大寮區華東路25-1號,2279,高雄市大寮區華東路25-1號,高雄市政府勞工局勞動檢查處,2024,2024-12-25,是,09
8,8,14669783,方○宏（即全家企業社）,F營造業(冷凍、空調及管道工程業),感電,1,邱○○,無,邱○○觀音區草富段437地號整地工程,桃園市觀音區長興路76號旁,2268,桃園市觀音區長興路76號旁,桃園市政府勞動檢查處,2024,2024-12-23,是,06
9,9,28704347,福瑞斯國際公寓大廈管理維護股份有限公司,N支援服務業(複合支援服務業),墜落、滾落,1,-,-,-,臺北市大安區和平東路3段,2266,,臺北市勞動檢查處,2024,2024-12-22,否,04
10,10,53265134,昱大行有限公司,G批發及零售業(化學原材料及其製品批發業),與有害物等之接觸,1,,00000000,,倉庫建築物前空地,2268,桃園市中壢區新生路3段,桃園市政府勞動檢查處,2024,2024-12-21,是,06
