編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
1,1,,啓宇營造工程股份有限公司,F營造業(建築工程業),墜落、滾落,1,和和機械股份有限公司,,和和等二戶南崗廠辦新建工程,2樓車道旁機房,2274,,勞動部職業安全衛生署中區職業安全衛生中心,2022,2022-12-30,否,02
2,2,,雅速達股份有限公司,C製造業(其他通用機械設備製造業),火災,4,,,,臺中市豐原區東洲路186巷29之3號,2272,,臺中市勞動檢查處,2022,2022-12-29,否,07
3,3,,環球晶圓股份有限公司,C製造業(未分類其他電子零組件製造業),墜落、滾落,1,無,,非營造工地	,環球晶圓股份有限公司,2269,新竹市東區工業東二路8號,新竹科學園區管理局,2022,2022-12-29,是,11
4,4,77366913,宏銘砂石行,C製造業(未分類其他非金屬礦物製品製造業),物體倒塌、崩塌,1,,,,,2274,,勞動部職業安全衛生署中區職業安全衛生中心,2022,2022-12-26,否,02
5,5,,瑞助營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,建高工程股份有限公司,,順天風聆樹住宅新建工程,C5戶3樓樓板開口,2272,臺中市北屯區太祥西街51號旁,勞動部職業安全衛生署中區職業安全衛生中心,2022,2022-12-23,是,02
6,6,,台灣自來水股份有限公司屏東區管理處,E用水供應及污染整治業(用水供應業),墜落、滾落,1,台灣自來水股份有限公司屏東區管理處,,牡丹廠下游四重溪至統埔複線工程-管(一),,2280,,勞動部職業安全衛生署南區職業安全衛生中心,2022,2022-12-23,否,03
7,7,,李OO(即尚峯鋁門行),C製造業(金屬建築組件製造業),墜落、滾落,1,詹OO,,玻璃採光罩工程,民宅4樓後方陽台,2272,,臺中市勞動檢查處,2022,2022-12-23,否,07
8,8,27644130,尚芳建設股份有限公司,L不動產業(不動產開發業),物體飛落,1,,,尚芳建設永安段華廈新建工程,1樓電梯井內無架工作平台,2282,花蓮縣吉安鄉太昌路510號之1旁(永安段320地號),勞動部職業安全衛生署北區職業安全衛生中心,2022,2022-12-22,是,01
9,9,,高○○,F營造業(建物完工裝修工程業),物體倒塌、崩塌,1,王○○,,住宅整修工程,1樓主臥室空心磚牆旁,2282,,勞動部職業安全衛生署北區職業安全衛生中心,2022,2022-12-21,否,01
10,10,,寶仁土石開發股份有限公司,C製造業(未分類其他非金屬礦物製品製造業),被夾、被捲,1,,,,大砂帶1輸送帶後輪處,2272,,臺中市勞動檢查處,2022,2022-12-18,否,07
11,11,70412292,奇埜企業有限公司,C製造業(金屬結構製造業),物體飛落,1,,,,屏東縣新園鄉內庄村興安路263號,2280,屏東縣新園鄉內庄村興安路263號,勞動部職業安全衛生署南區職業安全衛生中心,2022,2022-12-16,是,03
12,12,,-,F營造業(其他專門營造業),墜落、滾落,1,-,,水池開挖工程,民宅圍牆,2272,,臺中市勞動檢查處,2022,2022-12-16,否,07
