編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
696,14,,交通部高速公路局中區養護工程分局,O公共行政及國防；強制性社會安全(政府機關),公路交通事故,2,,,中分局一般勞務作業工作112年至113年-大甲,,,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-06-19,否,02
697,15,33095647,光暉瓦斯有限公司,G批發及零售業(其他燃料及相關產品零售業),火災,1,-,-,-,新北市板橋區中正路229號1樓,2266,新北市板橋區中正路229號1樓,新北市政府勞動檢查處,2023,2023-06-16,是,05
698,16,22132814,德昌營造股份有限公司,F營造業(建築工程業),物體飛落,1,財團法人中國醫藥大學,52005408,臺中市立老人復健綜合醫院新建營運移轉案委託財團法人中國醫藥大學興建經營-老人暨綜合醫學中心結構體本體新建工程,C區B3層,2272,臺中市北屯區太原路3段與建和路1段口,臺中市勞動檢查處,2023,2023-06-16,是,07
699,17,,澄拓營造有限公司,F營造業(其他土木工程業),墜落、滾落,1,邱○○,,邱○○「農業設施新建工程」,工區鋼構結構體上,2268,桃園市大園區五青路151巷21號,桃園市政府勞動檢查處,2023,2023-06-15,是,06
700,18,,民群電器行,F營造業(冷凍、空調及管道工程業),感電,1,,,冷氣機之室外機檢查工作,彰化縣彰化市卦山路14號,2273,彰化縣彰化市卦山路14號,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-06-14,是,02
701,19,,鵬霖營造股份有限公司,F營造業(建築工程業),跌倒,1,騰泰建設股份有限公司,,騰泰建設新北市中和區民樂段878等37筆地號集合住宅新建工程,踏板,2267,新北市中和區員山路與員山路266巷,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-06-13,是,01
702,20,,瑞寶營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,金首億建設股份有限公司,,金首億建設股份有限公司22戶新建工程,A棟2樓之外牆第2層施工架工作臺,2273,彰化縣溪湖鎮糖友街10號對面,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-06-08,是,02
703,21,,晟揚建設股份有限公司,L不動產業(不動產開發業),墜落、滾落,1,晟揚建設股份有限公司,,大豐案新建工程-油漆工程,高雄市三民區大豐二路和大昌二路口「大豐案新建工程」工地,2279,高雄市三民區大豐二路和大昌二路口,高雄市政府勞工局勞動檢查處,2023,2023-06-06,是,09
704,22,,蔡○,F營造業(機電、電信及電路設備安裝業),感電,1,,,,倉庫,2267,新北市八里區大堀湖路2號之16,新北市政府勞動檢查處,2023,2023-06-03,是,05
705,23,,台灣電力股份有限公司台中區營業處,D電力及燃氣供應業(電力供應業),被夾、被捲,1,,,,台8線臨37便道6.7公里處,,,臺中市勞動檢查處,2023,2023-06-03,否,07
706,24,,至成不織布股份有限公司,C製造業(不織布業),感電,1,,,,保修室,2267,新北市淡水區番子田32號,新北市政府勞動檢查處,2023,2023-05-31,是,05
707,25,11912102,台灣紙業股份有限公司新營紙廠,C製造業(化學原材料製造業),與高溫、低溫之接觸,1,,,,台灣紙業股份有限公司新營紙廠(臺南市新營區南紙里南紙街94號)鹽倉內之溶鹽池。,2278,臺南市新營區南紙里南紙街94號,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-05-30,是,03
708,26,,潘OO,A農、林、漁、牧業(林業),物體飛落,1,無,,無,桃源區寶山巷499之3地號,2279,桃源區寶山巷499之3地號,高雄市政府勞工局勞動檢查處,2023,2023-05-29,是,09
709,27,,鉿信裝潢工程有限公司,F營造業(建物完工裝修工程業),墜落、滾落,1,吳鳳池,,土庫公園路透天厝裝潢修繕工程,1樓車庫上方之遮雨棚,2275,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-05-28,否,02
710,28,00000000,蘇○○（自營作業者）,H運輸及倉儲業(汽車貨運業),被夾、被捲,1,,84491748,,工作場所外之空地,2268,-,桃園市政府勞動檢查處,2023,2023-05-26,是,06
711,29,90075298,宇辰能源科技有限公司(前首登工程有限公司),F營造業(其他土木工程業),墜落、滾落,1,安集科技股份有限公司,28580346,桃子園區國有不動產提供設置太陽光電租賃契約營舍屋頂及地面設置太陽光電發電系統,左營海軍基地海軍陸戰隊忠誠營區,2279,高雄市左營區先鋒路9號,高雄市政府勞工局勞動檢查處,2023,2023-05-25,是,09
712,30,52259520,志成鋼鐵股份有限公司,C製造業(鋼鐵軋延及擠型業),被撞,1,,,,,2273,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-05-24,否,02
713,31,,利兆實業有限公司,C製造業(車體製造業),物體飛落,1,,,,利兆實業有限公司,2272,,臺中市勞動檢查處,2023,2023-05-23,否,07
714,32,,民興營造有限公司,F營造業(建築工程業),墜落、滾落,1,陳宏恩,,桃園市蘆竹區新庄子段陳宅拆除及新建工程,後院屋頂,2268,,桃園市政府勞動檢查處,2023,2023-05-22,否,06
715,33,92551661,周00（即廣益實業社）,F營造業(建築工程業),墜落、滾落,1,錦誠有限公司,27800666,龜山廠廠內PVC水管拆除工程,廠房內,2268,桃園市龜山區,桃園市政府勞動檢查處,2023,2023-05-21,是,06
716,34,,長佑營造有限公司,F營造業(其他土木工程業),物體飛落,1,展志建設開發股份有限公司,,展志建設桃園區建國段752地號集合住宅新建工程,工區地下2層樓版區域,2268,桃園市桃園區昆明路與樹林四街口,桃園市政府勞動檢查處,2023,2023-05-20,是,06
717,35,20141181,蕭○珠(即振祥企業社),E用水供應及污染整治業(資源回收處理業),被撞,1,,,,新竹市東區溪埔路58號,2269,新竹市東區溪埔路58號,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-05-19,是,01
718,36,47095652,正弘事業有限公司,N支援服務業(建築物一般清潔服務業),墜落、滾落,1,何00,,麗景社區民宅外牆清洗作業,防火巷清洗外牆,2265,,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-05-17,否,01
719,37,28967072,山水和風事業股份有限公司,I住宿及餐飲業(短期住宿業),感電,1,,,,,2273,彰化縣彰化市向陽里崙平南路520號,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-05-17,是,02
720,38,,新興實業有限公司,C製造業(烘焙炊蒸食品製造業),物體倒塌、崩塌,1,,,,4樓作業生產區,2267,五股區五權路8號,新北市政府勞動檢查處,2023,2023-05-17,是,05
721,39,29125583,紹洲興業股份有限公司,F營造業(機電、電信及電路設備安裝業),墜落、滾落,1,旭忠能源股份有限公司,45055654,苓雅監理站新建工程裝置太陽能光電發電設備標租案,苓雅監理站新建工程裝置太陽光電發電設備標租案,2279,高雄市三民區建國一路454號,高雄市政府勞工局勞動檢查處,2023,2023-05-17,是,09
722,40,,鎧裕營造有限公司,F營造業(建築工程業),物體倒塌、崩塌,1,頡懋建設有限公司,,華南段(12戶)新建工程,A棟2樓,2273,彰化縣花壇鄉金墩街77號對面,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-05-16,是,02
723,41,M120953567,游○○,F營造業(其他專門營造業),墜落、滾落,1,林○○（自然人）,-,承攬林○○「民宅屋頂鐵皮修繕工程」,私有民宅之鐵皮屋頂,2268,桃園市蘆竹區,桃園市政府勞動檢查處,2023,2023-05-16,是,06
724,42,46425304,裕章工程有限公司,C製造業(產業用機械設備維修及安裝業),物體倒塌、崩塌,1,晟裕科技股份有限公司,54516356,汽輪發電機系統安裝工程,汽輪發電機組房1樓入口處,2268,桃園市觀音區環科路159號,桃園市政府勞動檢查處,2023,2023-05-16,是,06
725,43,,正輪有限公司,C製造業(輸送機械設備製造業),墜落、滾落,1,,,6.1公噸固定式起重機修繕作業,台灣鐵塔股份有限公司,2268,桃園市龍潭區湧光路1段136號,桃園市政府勞動檢查處,2023,2023-05-13,是,06
726,44,23806696,興娣機械股份有限公司,C製造業(未分類其他金屬製品製造業),物體倒塌、崩塌,1,,,,興娣機械股份有限公司,2267,新北市樹林區中洲街2之2號,新北市政府勞動檢查處,2023,2023-05-12,是,05
727,45,,弘愷工程行,F營造業(建物完工裝修工程業),墜落、滾落,1,,,住宅防水工程,南面外牆圓竹施工架,2278,,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-05-11,否,03
728,46,,煌龍建設有限公司,L不動產業(不動產開發業),物體飛落,1,,,煌龍建設有限公司新二段8戶住宅新建工程,屏東縣鹽埔鄉本工程之C1棟1樓室外,2280,屏東縣鹽埔鄉新二段194-1地號,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-05-10,是,03
729,47,12862116,中台資源科技股份有限公司,E用水供應及污染整治業(非有害廢棄物處理業),物體飛落,1,,12862116,,,,,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-05-09,否,01
730,48,,國城營造有限公司,F營造業(建築工程業),墜落、滾落,1,築禾建設股份有限公司,,築禾建設建林段59地號店鋪及集合住宅新建工程,新北市林口區忠孝路256巷10號旁工地,2267,,新北市政府勞動檢查處,2023,2023-05-08,是,05
731,49,無,皇陞交通股份有限公司,H運輸及倉儲業(汽車貨運業),被撞,1,-,無,-,臺中市清水區港埠路4段編號P120橋墩旁,2272,,臺中市勞動檢查處,2023,2023-05-08,否,07
732,50,,達欣工程股份有限公司,F營造業(建築工程業),跌倒,1,南山人壽保險股份有限公司,,（111建1688）南山A26地上權案新建工程,10樓板,2266,臺北市信義區信義路5段17號,臺北市勞動檢查處,2023,2023-05-07,是,04
733,51,33857130,國原營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,亞昕國際開發股份有限公司、新潤興業股份有限公司、海悅國際開發股份有限公司、 鈜富開發股份有限公司,89961389、16318881、22624873、27766219,（108建151）南港區南港段三小段72之1等7筆土地新建工程,南港區南港段三小段72之1等7筆土地新建工程工區A棟17樓1號電梯井內工作臺,2266,臺北市南港區興南街71號,臺北市勞動檢查處,2023,2023-05-06,是,04
734,52,,陳OO,F營造業(建物完工裝修工程業),墜落、滾落,1,鄭OO,,倉庫屋頂修繕工程,屋頂,2270,,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-05-05,否,01
735,53,34270072,世久營造探勘工程股份有限公司,F營造業(建築工程業),墜落、滾落,1,交通部鐵道局北部工程處,31474707,臺鐵都會區捷運化桃園段地下化建設計畫CJ01標增設平鎮臨時站先期工程,桃園市平鎮區榮興街39巷內（台鐵里程數68K+720）,2268,桃園市平鎮區榮興街39巷內,桃園市政府勞動檢查處,2023,2023-05-05,是,06
736,54,72039551,總太營造股份有限公司,F營造業(其他土木工程業),墜落、滾落,1,總太地產開發股份有限公司台中分公司,28783460,總太心之所向假設、結構新建工程,臺中市北屯區環太東路與長安東路口,2272,,臺中市勞動檢查處,2023,2023-05-04,否,07
737,55,,竟成營造有限公司,F營造業(其他土木工程業),溺斃,1,臺灣港務股份有限公司基隆港務分公司,,臺北港東15碼頭損壞修復(Ⅱ)暨東7~9碼頭緊急維護工程,臺北港東15、16碼頭緊鄰之海面上,2267,臺北港東15、16碼頭緊鄰之海面上,新北市政府勞動檢查處,2023,2023-05-02,是,05
738,56,11026506,大同股份有限公司大園廠,C製造業(視聽電子產品製造業),墜落、滾落,1,無,無,電機棟天溝清理修繕工程,電四棟及電五棟間之天溝,2268,桃園市大園區民生路102號,桃園市政府勞動檢查處,2023,2023-05-02,是,06
739,57,,黃○○,S其他服務業(其他個人服務業),墜落、滾落,1,黃○○,,新曬茶菁場配電工程,臺中市和平區福壽路15之2號,2272,,臺中市勞動檢查處,2023,2023-05-01,否,07
740,58,75094900,中華工程股份有限公司,F營造業(其他土木工程業),墜落、滾落,1,台灣中油股份有限公司煉製事業部桃園煉油廠,43748484,台15線及台4線配合桃園國際機場擴建辦理改線工程-中油油管改管工程,工區到達井露天開挖基坑開口邊緣,2268,大園區中央路336巷153弄1號旁,桃園市政府勞動檢查處,2023,2023-04-26,是,06
741,59,07569627,聯華食品工業股份有限公司彰化廠,C製造業(烘焙炊蒸食品製造業),火災,9,,,,聯華食品工業股份有限公司彰化廠2樓、4樓,2273,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-04-25,否,02
742,60,,哲誠營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,千悅建設有限公司,,千悅藏馥一期等16戶住宅新建工程,C3棟3樓陽台區,2282,花蓮縣新城鄉嘉南段438、438-1等2筆地號,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-04-24,是,01
743,61,86991310,東詮營造有限公司,F營造業(其他專門營造業),溺斃,1,亞馬遜育樂股份有限公司新竹分公司,80672556,大湖清淤工程,綠世界生態農場大湖,2270,新竹縣北埔鄉大湖村尾隘子20號,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-04-21,是,01
744,62,,吳○○,F營造業(其他專門營造業),被撞,1,張○○、謝○○、袁○○、徐○○、翁○○等5人,, 張○○、謝○○、袁○○、徐○○、翁○○等5人桃園市平鎮區鎮東段1194-0019、1194-0020地號整地工程之三次承攬人自營作業者吳○○發生被撞災害致死重大災害檢查初步報告書,桃園市平鎮區鎮東段1194-20地號,2268,桃園市平鎮區快速路一段702號旁,桃園市政府勞動檢查處,2023,2023-04-21,是,06
745,63,,立源營造股份有限公司,F營造業(建築工程業),墜落、滾落,2,三信倉儲股份有限公司,,三信倉儲觀音區廠房新建工程,工區西北側屋頂區域,2268,桃園市觀音區快速路9段2278號旁,桃園市政府勞動檢查處,2023,2023-04-19,是,06
746,64,10119610,昱傑企業社,F營造業(機電、電信及電路設備安裝業),墜落、滾落,1,鵬鼎科技股份有限公司,66406662,鵬鼎科技股份有限公司高雄園區(一期工程)新建工程電梯工程,自6號電梯井施工平台開口處墜落,2279,高雄市路竹區路科九路與後鄉路交叉口,南部科學園區管理局,2023,2023-04-18,是,13
747,65,,高田營造有限公司,F營造業(建築工程業),墜落、滾落,1,傑克電機股份有限公司,,傑克電機股份有限公司新屋區清華段851等2筆地號辦公大樓新建工程,工區頂樓鋼構工程,2268,新屋區新文路787號,桃園市政府勞動檢查處,2023,2023-04-14,是,06
748,66,92405725,邱OO(即政隆耀工程行),F營造業(建物完工裝修工程業),墜落、滾落,1,民宅,X220396848,室內裝修工程,案場5樓圍牆台上墜落,2279,高雄市小港區松崗路116號5樓,高雄市政府勞工局勞動檢查處,2023,2023-04-13,是,09
749,67,86330846,岩易企業股份有限公司,C製造業(塗料、染料及顏料製造業),物體飛落,1,,無,,,,,新北市政府勞動檢查處,2023,2023-04-10,否,05
750,68,,群宏交通企業有限公司,H運輸及倉儲業(汽車貨運業),物體飛落,1,,,,,2278,,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-04-08,否,03
751,69,,新曜營造股份有限公司,F營造業(其他專門營造業),感電,1,花蓮縣政府,,花64線2.7k、3.1k、4.1k、4.7k、16k＋650等五處災害復建工程,鄉道花64線16K+525,2282,花蓮縣瑞穗鄉、豐濱鄉鄉道花64線16K+525,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-04-06,是,01
