編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
1,1,,世薪工程有限公司,F營造業(其他專門營造業),墜落、滾落,1,,,,,2272,,勞動部職業安全衛生署中區職業安全衛生中心,2020,2020-12-31,否,02
2,2,,林OO,F營造業(建物完工裝修工程業),墜落、滾落,1,智寶建設股份有限公司,,福德南段住宅新建工程,地上1樓機械式停車升降機坑,2267,新北市三重區重新路1段與環河南路口,新北市政府勞動檢查處,2020,2020-12-31,是,05
3,3,,昌蘄畜牧場,A農、林、漁、牧業(豬飼育業),溺斃,1,昌蘄畜牧場,,無,昌蘄畜牧場污水池,2273,彰化縣二林鎮武山巷11號,勞動部職業安全衛生署中區職業安全衛生中心,2020,2020-12-30,是,02
4,4,,簡OO,F營造業(其他土木工程業),墜落、滾落,1,蕭OO等7人,,承攬蕭OO等7人停車場屋頂修繕工程,新北市新莊區OO路OO號之停車場,2267,,新北市政府勞動檢查處,2020,2020-12-29,否,05
5,5,,皇軍國際事業有限公司,B礦業及土石採取業(砂、石採取及其他礦業),不當動作,1,臺中市養護工程處及台灣自來水股份有限公司,,臺中市西區向上路一段19號前道路-擅挖修復,臺中市西區向上路一段19號前道路,2272,臺中市西區向上路一段19號前道路,臺中市勞動檢查處,2020,2020-12-29,是,07
6,6,,新宜營造工程有限公司,F營造業(建築工程業),墜落、滾落,1,群創力科技有限公司,,群創力科技有限公司雨遮新建工程,施工架工作台,2270,,勞動部職業安全衛生署北區職業安全衛生中心,2020,2020-12-25,否,01
7,7,,虎欣實業股份有限公司,C製造業(其他金屬容器製造業),被夾、被捲,1,,,,新北市土城區民權街5號,2267,,新北市政府勞動檢查處,2020,2020-12-24,否,05
8,8,69651695,世紀離岸風電設備股份有限公司,F營造業(整地、基礎及結構工程業),墜落、滾落,1,世紀離岸風電設備股份有限公司,69651695,南碼頭第三期新建工程,新北市八里區下罟子段下罟子小段556地號,2267,新北市八里區下罟子段下罟子小段556地號,勞動部職業安全衛生署北區職業安全衛生中心,2020,2020-12-22,是,01
9,9,,佑晟冷凍設備科技有限公司,C製造業(未分類其他金屬製品製造業),墜落、滾落,1,福星食品有限公司,,冷凍庫汰換工程,新北市三重區興德路141巷1號1樓,2267,新北市三重區興德路141巷1號1樓,新北市政府勞動檢查處,2020,2020-12-21,是,05
10,10,,旭富製藥科技股份有限公司桃園廠,C製造業(西藥製造業),爆炸,1,無,,無,旭富製藥公司桃園廠3區2樓編號R0304反應槽,2268,桃園市蘆竹區海湖北路309巷61號,桃園市政府勞動檢查處,2020,2020-12-20,是,06
11,11,11214205,永隆工程股份有限公司,F營造業(機電、電信及電路設備安裝業),物體倒塌、崩塌,1,台灣中油股份有限公司台中液化天然氣廠,45330364,台中廠LNG灌裝設施新建工程,台灣中油股份有限公司台中液化天然氣廠區,2272,,勞動部職業安全衛生署中區職業安全衛生中心,2020,2020-12-18,否,02
12,12,,興泰預拌混凝土股份有限公司,C製造業(預拌混凝土製造業),墜落、滾落,1,臺中市政府水利局,,北屯區民德里大昌段270地號東山路二段129線旁下邊坡崩塌復建工程,北屯區民德里大昌段270地號東山路二段129線旁下邊坡崩塌工地,2272,,臺中市勞動檢查處,2020,2020-12-18,否,07
13,13,,星鋐能源科技有限公司,F營造業(機電、電信及電路設備安裝業),墜落、滾落,1,雄進鋼構股份有限公司,,廠房屋頂太陽能光電面板清洗工程,屋頂,2280,屏東縣新園鄉西平路91號,勞動部職業安全衛生署南區職業安全衛生中心,2020,2020-12-17,是,03
14,14,,萬福宮,S其他服務業(宗教組織),物體倒塌、崩塌,1,,,,高雄市茄萣區白砂路237號,2279,高雄市茄萣區白砂路237號,高雄市政府勞工局勞動檢查處,2020,2020-12-15,是,09
15,15,,國揚鋁業股份有限公司,C製造業(鋁材軋延、擠型及伸線業),墜落、滾落,1,,,,,2267,,新北市政府勞動檢查處,2020,2020-12-13,否,05
