編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
1,1,,美力營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,聯上墾丁股份有限公司,,聯上墾丁公教會館及多功能設施BOT案,本工程A區2樓底板處墜落,2280,屏東縣恆春鎮文化巷,勞動部職業安全衛生署南區職業安全衛生中心,2021,2021-12-31,是,03
2,2,04978851,亞記營造工程股份有限公司,F營造業(建築工程業),跌倒,1,北碁建設股份有限公司,84251037,文心念念住宅大樓新建工程（109店建字第298號）,地下3樓與車道銜接處,2267,,新北市政府勞動檢查處,2021,2021-12-31,否,05
3,3,A122395652,優食台灣股份有限公司(外送平台),H運輸及倉儲業(汽車貨運業),公路交通事故,1,-,83076928,-,新北市八里區中山路3段112號前,2267,新北市八里區中山路3段112號前,新北市政府勞動檢查處,2021,2021-12-31,是,05
4,4,,交通部公路總局第五區養護工程處,O公共行政及國防；強制性社會安全(政府機關),溺斃,1,交通部公路總局第五區養護工程處,,台61線龍宮溪橋等感潮鹽害橋梁補強整修工程,本工程東石濱海橋橋墩旁懸吊式施工架處,2277,,勞動部職業安全衛生署南區職業安全衛生中心,2021,2021-12-29,否,03
5,5,,漢翔航空工業股份有限公司,C製造業(未分類其他運輸工具及其零件製造業),爆炸,1,,,,漢翔航空工業股份有限公司8號廠房機工工場鉗工打磨間,2272,,臺中市勞動檢查處,2021,2021-12-29,否,07
6,6,,金盛世紙業有限公司桃園廠,C製造業(家庭及衛生用紙製造業),被撞,1,,,,桃園市觀音區大潭南路500號1樓（摺紙機）,2268,桃園市觀音區大潭南路500號,桃園市政府勞動檢查處,2021,2021-12-26,是,06
7,7,,繹品建設有限公司,L不動產業(不動產開發業),其他,1,繹品建設有限公司,,方正六智慧樂居電梯華廈11戶新建工程,高雄市阿蓮區中正路792號旁,2279,高雄市阿蓮區中正路792號旁,高雄市政府勞工局勞動檢查處,2021,2021-12-25,是,09
8,8,,邱00(自然人),F營造業(其他專門營造業),墜落、滾落,1,黃00,,黃00住宅新建工程(裝修工程),臺南市中西區000街00號,2278,,勞動部職業安全衛生署南區職業安全衛生中心,2021,2021-12-18,否,03
9,9,,林OO（即建緯工程行）,F營造業(冷凍、空調及管道工程業),物體飛落,1,潤泰創新國際股份有限公司,,潤泰創新國際新建工程,A棟地上4樓天井區施工架,2267,新北市板橋區華江一路與華江六路交叉口,新北市政府勞動檢查處,2021,2021-12-18,是,05
10,10,,王○○,F營造業(其他專門營造業),墜落、滾落,1,徐○○,,倉庫鐵皮換裝工程,C型鋼上,2273,,勞動部職業安全衛生署中區職業安全衛生中心,2021,2021-12-17,否,02
11,11,,陳OO,F營造業(建物完工裝修工程業),墜落、滾落,1,,,民宅修繕作業,地上3樓南側窗臺,2267,新北市林口區麗園二街47巷56號,新北市政府勞動檢查處,2021,2021-12-17,是,05
12,12,,日商丸紅國際股份有限公司電力專案分公司,F營造業(公用事業設施工程業),物體倒塌、崩塌,1,台灣電力股份有限公司,,大潭電廠增建燃氣複循環機組發電計畫8及9號機複循環發電機組設備及其廠房與相關設施設備採購帶安裝案,大潭電廠9號機工區(重件大門),2268,桃園市觀音區電廠路1號,勞動部職業安全衛生署北區職業安全衛生中心,2021,2021-12-15,是,01
13,13,,柏澄實業有限公司,C製造業(塑膠皮、板及管材製造業),物體飛落,1,,,,,2272,,臺中市勞動檢查處,2021,2021-12-15,否,07
14,14,,台灣塑膠工業股份有限公司麥寮廠(保養中心),C製造業(化學原材料製造業),其他,1,,,,台灣塑膠工業股份有限公司麥寮廠之碱廠製二課電解廠房1樓,2275,,勞動部職業安全衛生署中區職業安全衛生中心,2021,2021-12-14,否,02
15,15,,恆合營造有限公司,F營造業(其他土木工程業),墜落、滾落,1,恆合建設股份有限公司,,（106建152）恆合建設江山新建工程,A棟後側5樓外牆施工架外斜籬,2266,北投區承德路7段164巷口,臺北市勞動檢查處,2021,2021-12-14,是,04
